year,patent_count,avg_claims,min_claims,max_claims
1976,71046,9.48,1,706
1977,71543,9.69,1,272
1978,71046,9.74,1,266
1979,71120,9.74,1,642
1980,72129,9.74,1,263
1981,69238,9.92,1,249
1982,70781,9.97,1,244
1983,67612,10.35,1,394
1984,73596,10.43,1,279
1985,78472,10.6,1,258
1986,81997,10.93,1,250
1987,89163,11.2,1,279
1988,98294,11.45,1,313
1989,104499,11.73,1,292
1990,108566,11.93,1,868
1991,109592,11.97,1,231
1992,113347,12.32,1,309
1993,118370,12.79,1,289
1994,135178,13.29,1,521
1995,157411,14.1,1,679
1996,158433,14.47,1,348
1997,184236,15.24,1,887
1998,183966,15.64,1,683
1999,197162,16.3,1,671
2000,214632,16.78,1,596
2001,228021,17.44,1,513
2002,228953,17.4,1,803
2003,220579,17.08,1,520
2004,221454,16.72,1,489
2005,226484,15.29,1,415
2006,231707,15.4,1,324
2007,240271,15.13,1,404
2008,241976,14.81,1,367
2009,233384,14.68,1,760
2010,248378,14.67,1,539
2011,268845,14.72,1,405
2012,294135,14.87,1,311
2013,313037,14.79,1,310
2014,322941,14.71,1,330
2015,335504,14.6,1,381
2016,347506,14.59,1,302
2017,362810,14.64,1,358
2018,368381,14.77,1,254
2019,390248,14.88,1,394
2020,367541,15.03,1,289
2021,330843,14.99,1,445
2022,270944,14.75,1,347
2023,182698,14.03,1,375
2024,74525,11.94,1,397
2025,8758,9.9,1,124
