year,cpc_section,patent_count
2025,G,1809
2025,H,1385
2025,A,1340
2025,B,1040
2025,C,676
2025,F,637
2025,Y,533
2025,E,244
2025,D,31
2024,G,22459
2024,H,18171
2024,A,9545
2024,B,9122
2024,F,6184
2024,C,4318
2024,Y,4263
2024,E,2164
2024,D,369
2023,G,68252
2023,H,59859
2023,B,26748
2023,A,23978
2023,F,14035
2023,Y,12305
2023,C,10766
2023,E,5450
2023,D,1002
2022,G,103929
2022,H,98184
2022,B,44031
2022,A,35731
2022,F,20935
2022,Y,20376
2022,C,17415
2022,E,8054
2022,D,1606
2021,G,127670
2021,H,123934
2021,B,55787
2021,A,48133
2021,Y,29309
2021,F,25528
2021,C,25361
2021,E,10118
2021,D,2253
2020,G,143712
2020,H,136782
2020,B,66009
2020,A,58526
2020,Y,34599
2020,C,34537
2020,F,29980
2020,E,11891
2020,D,2691
2019,G,153227
2019,H,142685
2019,B,72410
2019,A,64092
2019,C,40276
2019,Y,38488
2019,F,32957
2019,E,12303
2019,D,3042
2018,G,140838
2018,H,131294
2018,B,70593
2018,A,63897
2018,C,41650
2018,Y,37703
2018,F,33406
2018,E,12100
2018,D,3025
2017,G,135598
2017,H,129624
2017,B,70303
2017,A,63498
2017,C,41497
2017,Y,38775
2017,F,34352
2017,E,11988
2017,D,3033
2016,G,125838
2016,H,123182
2016,B,64207
2016,A,60215
2016,C,39707
2016,Y,37975
2016,F,33158
2016,E,11344
2016,D,2718
2015,G,120900
2015,H,118831
2015,B,59244
2015,A,55847
2015,Y,39632
2015,C,38384
2015,F,31890
2015,E,10878
2015,D,2634
2014,G,113972
2014,H,112692
2014,B,55711
2014,A,53481
2014,Y,43868
2014,C,37209
2014,F,30016
2014,E,10750
2014,D,2576
2013,G,109957
2013,H,107140
2013,B,51784
2013,A,50875
2013,Y,48089
2013,C,35774
2013,F,28320
2013,E,9821
2013,D,2323
2012,G,101712
2012,H,99611
2012,Y,48183
2012,B,47104
2012,A,45656
2012,C,33665
2012,F,26121
2012,E,8501
2012,D,2042
2011,G,88627
2011,H,88321
2011,Y,45716
2011,B,43186
2011,A,41547
2011,C,31305
2011,F,22825
2011,E,7601
2011,D,2040
2010,G,79766
2010,H,79145
2010,Y,41328
2010,A,39420
2010,B,37668
2010,C,28907
2010,F,20608
2010,E,6923
2010,D,1842
2009,G,75277
2009,H,73875
2009,Y,38001
2009,A,35530
2009,B,35379
2009,C,26847
2009,F,19253
2009,E,6099
2009,D,1732
2008,G,81513
2008,H,76189
2008,Y,38143
2008,B,36402
2008,A,33433
2008,C,25584
2008,F,19182
2008,E,6041
2008,D,1901
2007,G,80876
2007,H,74924
2007,Y,37556
2007,B,35865
2007,A,34541
2007,C,26224
2007,F,18482
2007,E,5925
2007,D,1827
2006,G,76959
2006,H,72350
2006,B,35536
2006,Y,35111
2006,A,33086
2006,C,25257
2006,F,17706
2006,E,5569
2006,D,1911
2005,G,73574
2005,H,68793
2005,B,36525
2005,Y,34770
2005,A,31175
2005,C,24007
2005,F,17937
2005,E,5420
2005,D,1931
2004,G,70144
2004,H,65508
2004,B,36875
2004,Y,35628
2004,A,31618
2004,C,24663
2004,F,18047
2004,E,5912
2004,D,1940
2003,G,66077
2003,H,63082
2003,B,39338
2003,Y,37245
2003,A,33873
2003,C,26902
2003,F,18642
2003,E,6163
2003,D,2296
2002,G,66053
2002,H,64298
2002,B,42179
2002,Y,40852
2002,A,36641
2002,C,31564
2002,F,20182
2002,E,6648
2002,D,2693
2001,G,65955
2001,H,63588
2001,Y,42055
2001,B,42023
2001,A,37088
2001,C,32768
2001,F,19428
2001,E,6217
2001,D,2929
2000,G,60383
2000,H,58200
2000,B,39369
2000,Y,37905
2000,A,36181
2000,C,30490
2000,F,17955
2000,E,6138
2000,D,2756
1999,G,53301
1999,H,52062
1999,B,36025
1999,Y,35203
1999,A,33904
1999,C,27955
1999,F,16204
1999,E,5908
1999,D,2672
1998,G,49483
1998,H,47660
1998,B,34195
1998,Y,33672
1998,A,31299
1998,C,25439
1998,F,15351
1998,E,5556
1998,D,2724
1997,G,50104
1997,H,45454
1997,B,35204
1997,Y,34978
1997,A,32053
1997,C,27305
1997,F,15615
1997,E,5744
1997,D,3016
1996,G,42265
1996,H,37253
1996,B,31604
1996,Y,30774
1996,A,27125
1996,C,22872
1996,F,14285
1996,E,5131
1996,D,2696
1995,G,40162
1995,Y,33121
1995,H,32748
1995,A,32292
1995,B,31433
1995,C,30612
1995,F,13907
1995,E,5034
1995,D,3002
1994,G,33119
1994,B,28306
1994,Y,28285
1994,H,27321
1994,A,25732
1994,C,23251
1994,F,12966
1994,E,4609
1994,D,2610
1993,G,27645
1993,B,26383
1993,Y,25828
1993,H,22388
1993,A,21921
1993,C,20449
1993,F,12612
1993,E,4326
1993,D,2307
1992,G,26424
1992,B,25518
1992,Y,24752
1992,H,21562
1992,C,19807
1992,A,19386
1992,F,12225
1992,E,4323
1992,D,2267
1991,B,25172
1991,G,24793
1991,Y,23708
1991,H,20249
1991,C,18896
1991,A,18038
1991,F,12246
1991,E,4578
1991,D,2209
1990,B,24977
1990,G,23867
1990,Y,23338
1990,C,19214
1990,H,18873
1990,A,18476
1990,F,12463
1990,E,4634
1990,D,2341
1989,B,24230
1989,G,22925
1989,Y,22430
1989,C,18663
1989,H,18016
1989,A,17363
1989,F,12015
1989,E,4417
1989,D,2390
1988,B,23275
1988,Y,21657
1988,G,20854
1988,C,17471
1988,H,16474
1988,A,16373
1988,F,11286
1988,E,4176
1988,D,2233
1987,B,21260
1987,Y,20012
1987,G,18466
1987,C,15765
1987,A,15098
1987,H,14177
1987,F,10645
1987,E,3916
1987,D,1998
1986,B,19243
1986,Y,18683
1986,G,16332
1986,C,14836
1986,A,13375
1986,H,13374
1986,F,10136
1986,E,3735
1986,D,1989
1985,B,18254
1985,Y,18088
1985,G,15220
1985,C,14954
1985,H,12512
1985,A,12209
1985,F,9746
1985,E,3524
1985,D,1770
1984,Y,17169
1984,B,17133
1984,C,14279
1984,G,14142
1984,H,11454
1984,A,11267
1984,F,9514
1984,E,3345
1984,D,1833
1983,B,15465
1983,Y,15316
1983,C,13346
1983,G,12929
1983,H,10554
1983,A,10097
1983,F,8578
1983,E,3097
1983,D,1747
1982,B,16274
1982,Y,16001
1982,C,14425
1982,G,13741
1982,H,11007
1982,A,10103
1982,F,9521
1982,E,3186
1982,D,1913
1981,B,16238
1981,Y,15949
1981,C,14209
1981,G,13135
1981,H,10413
1981,A,10118
1981,F,9407
1981,E,3431
1981,D,1861
1980,B,17139
1980,Y,16709
1980,C,14628
1980,G,13156
1980,H,10705
1980,A,10672
1980,F,9889
1980,E,3706
1980,D,1976
1979,B,17366
1979,Y,16474
1979,C,14327
1979,G,12693
1979,A,10818
1979,H,9988
1979,F,9892
1979,E,3712
1979,D,2031
1978,B,17426
1978,Y,16508
1978,C,14527
1978,G,12342
1978,A,10677
1978,H,9997
1978,F,9652
1978,E,3778
1978,D,2065
1977,B,17584
1977,Y,16470
1977,C,14392
1977,G,12208
1977,A,11052
1977,F,9768
1977,H,9629
1977,E,3823
1977,D,2122
1976,B,17605
1976,Y,16402
1976,C,14418
1976,G,12140
1976,A,10655
1976,H,9694
1976,F,9687
1976,E,3743
1976,D,2167
