year,patent_count
1976,71046
1977,71543
1978,71046
1979,71120
1980,72129
1981,69238
1982,70781
1983,67612
1984,73596
1985,78472
1986,81997
1987,89163
1988,98294
1989,104499
1990,108566
1991,109592
1992,113347
1993,118370
1994,135178
1995,157411
1996,158433
1997,184236
1998,183966
1999,197162
2000,214632
2001,228021
2002,228953
2003,220579
2004,221454
2005,226484
2006,231707
2007,240271
2008,241976
2009,233384
2010,248378
2011,268845
2012,294135
2013,313037
2014,322941
2015,335504
2016,347506
2017,362810
2018,368381
2019,390248
2020,367541
2021,330843
2022,270944
2023,182698
2024,74525
2025,8758
