cpc_section,company_name,patent_count
A,"Medtronic, Inc.",8185
A,The Procter & Gamble Company,8149
A,Covidien LP,8016
A,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,6199
A,"Boston Scientific Scimed, Inc.",6166
B,TOYOTA JIDOSHA KABUSHIKI KAISHA,19133
B,"HONDA MOTOR CO., LTD.",16559
B,CANON KABUSHIKI KAISHA,15810
B,"FORD GLOBAL TECHNOLOGIES, LLC",15193
B,SEIKO EPSON CORPORATION,13051
C,BASF SE,15250
C,Bayer Aktiengesellschaft,11665
C,E.I. DU PONT DE NEMOURS AND COMPANY,10859
C,General Electric Company,9314
C,"SAMSUNG DISPLAY CO., LTD.",7645
D,LG ELECTRONICS INC.,2425
D,The Procter & Gamble Company,1902
D,E.I. DU PONT DE NEMOURS AND COMPANY,1875
D,Whirlpool Corporation,1363
D,"Kimberly-Clark Worldwide, Inc.",1239
E,"Halliburton Energy Services, Inc.",8953
E,Schlumberger Technology Corporation,6507
E,Baker Hughes Holdings LLC,4146
E,SAUDI ARABIAN OIL COMPANY,3315
E,Caterpillar Inc.,2099
F,General Electric Company,16902
F,TOYOTA JIDOSHA KABUSHIKI KAISHA,13059
F,"HONDA MOTOR CO., LTD.",9682
F,Robert Bosch GmbH,9438
F,"FORD GLOBAL TECHNOLOGIES, LLC",9197
G,International Business Machines Corporation,116854
G,"SAMSUNG DISPLAY CO., LTD.",76296
G,CANON KABUSHIKI KAISHA,55350
G,Fujitsu Limited,33229
G,SONY GROUP CORPORATION,32083
H,"SAMSUNG DISPLAY CO., LTD.",105503
H,International Business Machines Corporation,68571
H,SONY GROUP CORPORATION,38628
H,CANON KABUSHIKI KAISHA,38400
H,QUALCOMM Incorporated,36483
Y,"SAMSUNG DISPLAY CO., LTD.",18796
Y,General Electric Company,17433
Y,International Business Machines Corporation,17296
Y,TOYOTA JIDOSHA KABUSHIKI KAISHA,15697
Y,"HONDA MOTOR CO., LTD.",9014
