rank,inventor_id,name,country,patent_count
1,fl:sh_ln:yamazaki-59,Shunpei Yamazaki,JP,6787
2,fl:ki_ln:silverbrook-1,Kia Silverbrook,AU,4778
3,fl:ta_ln:luo-5,Tao Luo,US,4490
4,fl:jo_ln:ive-4,Jonathan P. Ive,US,2947
5,fl:ju_ln:li-39,Junyi Li,US,2881
6,fl:ka_ln:cheng-84,Kangguo Cheng,US,2835
7,fl:fr_ln:shelton-6,"Frederick E. Shelton, IV",US,2723
8,fl:pe_ln:gaal-1,Peter Gaal,US,2554
9,fl:du_ln:kerr-1,Duncan Robert Kerr,US,2534
10,fl:ba_ln:andre-6,Bartley K. Andre,US,2478
11,fl:ri_ln:howarth-2,Richard P. Howarth,US,2402
12,fl:wa_ln:chen-107,Wanshi Chen,US,2342
13,fl:eu_ln:whang-8,Eugene Antony Whang,US,2248
14,fl:xi_ln:zhang-212,Xiaoxia Zhang,US,2158
15,fl:pe_ln:russellclarke-2,Peter Russell-Clarke,US,2012
16,fl:ri_ln:zorkendorfer-1,Rico Zörkendörfer,US,1993
17,fl:ch_ln:yu-100,Chen-Hua Yu,TW,1981
18,fl:lo_ln:wood-12,"Lowell L. Wood, JR.",US,1974
19,fl:ch_ln:stringer-4,Christopher J. Stringer,US,1918
20,fl:es_ln:dinan-2,Esmael Hejazi Dinan,US,1915
